flight_id,date,pilot_id,aircraft_id,mission_type,duration_hours,fuel_used_lbs,status,notes
FL0161,2024-10-17,P017,A017,Training,2.0,3873,Completed,Standard training procedures
FL0162,2024-10-17,P011,A006,Patrol,3.8,7500,Completed,Coastal patrol operation
FL0163,2024-10-17,P002,A007,Reconnaissance,3.2,6236,Cancelled,Standard reconnaissance procedures
FL0164,2024-10-17,P017,A011,Transport,3.2,6139,Completed,Successful transport operation
FL0165,2024-10-17,P014,A019,Training,1.8,3479,Completed,Successful training operation
FL0166,2024-10-17,P016,A003,Transport,2.5,4987,Cancelled,Routine transport mission
FL0167,2024-10-17,P003,A009,Transport,2.6,5228,Completed,transport systems check completed
FL0168,2024-10-17,P008,A001,Combat,4.6,9392,Completed,Weather-related combat mission
FL0169,2024-10-17,P004,A020,Combat,4.6,9013,Completed,Joint force combat exercise
FL0170,2024-10-17,P010,A012,Patrol,2.8,5452,Completed,Emergency patrol training
FL0171,2024-10-18,P003,A002,Patrol,3.8,6981,Completed,Coastal patrol operation
FL0172,2024-10-18,P015,A007,Combat,4.4,8540,Cancelled,Successful combat operation
FL0173,2024-10-18,P016,A007,Combat,4.2,7734,Completed,Joint force combat exercise
FL0174,2024-10-18,P001,A019,Reconnaissance,3.0,6168,Cancelled,Standard reconnaissance procedures
FL0175,2024-10-18,P010,A008,Combat,3.5,7259,Completed,Weather-related combat mission
FL0176,2024-10-18,P016,A011,Combat,3.9,7691,Completed,Joint force combat exercise
FL0177,2024-10-18,P016,A005,Patrol,3.3,6034,Completed,Coastal patrol operation
FL0178,2024-10-18,P018,A015,Transport,3.3,6816,Completed,Successful transport operation
FL0179,2024-10-18,P011,A002,Combat,3.7,7752,Cancelled,Advanced combat training
FL0180,2024-10-18,P008,A006,Transport,2.7,5065,Completed,Advanced transport training
FL0181,2024-10-19,P007,A013,Training,2.5,5116,Completed,Routine training mission
FL0182,2024-10-19,P016,A019,Transport,2.5,4527,Completed,Night transport mission
FL0183,2024-10-19,P017,A015,Patrol,3.6,6744,Completed,Night patrol mission
FL0184,2024-10-19,P005,A005,Transport,2.4,4460,Completed,Coastal transport operation
FL0185,2024-10-19,P015,A014,Reconnaissance,2.9,5994,Completed,Night reconnaissance mission
FL0186,2024-10-19,P002,A002,Combat,3.8,7772,Completed,Routine combat mission
FL0187,2024-10-19,P007,A007,Reconnaissance,3.3,6071,Completed,reconnaissance systems check completed
FL0188,2024-10-19,P014,A013,Transport,2.2,4550,Completed,Coastal transport operation
FL0189,2024-10-19,P010,A001,Combat,3.7,7440,Completed,Night combat mission
FL0190,2024-10-19,P014,A012,Training,2.5,4580,Completed,Successful training operation
FL0191,2024-10-20,P016,A004,Training,1.7,3321,Cancelled,Routine training mission
FL0192,2024-10-20,P001,A014,Training,2.2,4386,Completed,Coastal training operation
FL0193,2024-10-20,P005,A005,Reconnaissance,3.9,7151,Completed,Night reconnaissance mission
FL0194,2024-10-20,P006,A002,Transport,2.3,4260,Cancelled,Night transport mission
FL0195,2024-10-20,P019,A002,Reconnaissance,3.8,7024,Completed,Standard reconnaissance procedures
FL0196,2024-10-20,P008,A014,Training,2.0,4045,Completed,Advanced training training
FL0197,2024-10-20,P017,A010,Combat,4.5,8224,Completed,combat systems check completed
FL0198,2024-10-20,P019,A008,Training,1.7,3090,Completed,Routine training mission
FL0199,2024-10-20,P007,A012,Transport,2.2,4281,Completed,Successful transport operation
FL0200,2024-10-20,P003,A018,Patrol,3.6,7429,Completed,Weather-related patrol mission
FL0201,2024-10-21,P003,A017,Patrol,2.8,5279,Completed,Advanced patrol training
FL0202,2024-10-21,P016,A008,Reconnaissance,3.3,6858,Completed,Standard reconnaissance procedures
FL0203,2024-10-21,P017,A010,Reconnaissance,3.0,5829,Completed,Night reconnaissance mission
FL0204,2024-10-21,P010,A017,Transport,2.2,4203,Completed,Routine transport mission
FL0205,2024-10-21,P014,A011,Training,2.1,4282,Cancelled,Routine training mission
FL0206,2024-10-21,P010,A001,Training,2.6,5274,Completed,Standard training procedures
FL0207,2024-10-21,P008,A006,Training,2.4,4808,Completed,Advanced training training
FL0208,2024-10-21,P015,A014,Combat,4.2,7950,Completed,Advanced combat training
FL0209,2024-10-21,P015,A020,Patrol,3.4,6377,Completed,Emergency patrol training
FL0210,2024-10-21,P001,A001,Training,2.4,4842,Completed,Emergency training training
FL0211,2024-10-22,P011,A016,Patrol,3.6,7131,Completed,Emergency patrol training
FL0212,2024-10-22,P011,A001,Reconnaissance,3.5,6766,Completed,Advanced reconnaissance training
FL0213,2024-10-22,P002,A003,Patrol,2.8,5164,Completed,Routine patrol mission
FL0214,2024-10-22,P013,A012,Reconnaissance,2.9,5804,Completed,Coastal reconnaissance operation
FL0215,2024-10-22,P007,A010,Transport,3.4,6147,Cancelled,Coastal transport operation
FL0216,2024-10-22,P005,A002,Patrol,2.7,5520,Completed,patrol systems check completed
FL0217,2024-10-22,P009,A002,Reconnaissance,4.0,7751,Completed,Emergency reconnaissance training
FL0218,2024-10-22,P003,A008,Transport,3.4,6565,Cancelled,Coastal transport operation
FL0219,2024-10-22,P002,A019,Reconnaissance,3.5,6634,Completed,Night reconnaissance mission
FL0220,2024-10-22,P004,A012,Combat,4.0,7509,Completed,Successful combat operation
FL0221,2024-10-23,P020,A017,Training,2.2,4137,Completed,Emergency training training
FL0222,2024-10-23,P002,A007,Transport,2.3,4451,Completed,Weather-related transport mission
FL0223,2024-10-23,P012,A009,Patrol,3.2,6181,Completed,Standard patrol procedures
FL0224,2024-10-23,P003,A003,Combat,4.6,8378,Completed,combat systems check completed
FL0225,2024-10-23,P012,A004,Patrol,2.8,5572,Completed,patrol systems check completed
FL0226,2024-10-23,P012,A001,Combat,4.6,8986,Completed,Standard combat procedures
FL0227,2024-10-23,P011,A003,Reconnaissance,3.9,7869,Cancelled,Successful reconnaissance operation
FL0228,2024-10-23,P011,A014,Combat,4.1,7520,Cancelled,Joint force combat exercise
FL0229,2024-10-23,P005,A019,Reconnaissance,3.5,6368,Completed,Joint force reconnaissance exercise
FL0230,2024-10-23,P009,A013,Reconnaissance,3.8,6845,Completed,Emergency reconnaissance training
FL0231,2024-10-24,P008,A004,Combat,3.5,6329,Completed,combat systems check completed
FL0232,2024-10-24,P011,A011,Combat,4.9,9630,Completed,Standard combat procedures
FL0233,2024-10-24,P005,A017,Combat,4.6,9240,Completed,Coastal combat operation
FL0234,2024-10-24,P018,A004,Training,2.1,3847,Completed,Coastal training operation
FL0235,2024-10-24,P008,A016,Training,2.7,5262,Completed,Advanced training training
FL0236,2024-10-24,P018,A018,Patrol,3.4,6716,Completed,Successful patrol operation
FL0237,2024-10-24,P017,A002,Combat,4.3,8322,Completed,Routine combat mission
FL0238,2024-10-24,P013,A017,Training,2.1,3821,Completed,Emergency training training
FL0239,2024-10-24,P018,A005,Transport,3.3,6265,Completed,Standard transport procedures
FL0240,2024-10-24,P015,A001,Reconnaissance,4.4,8632,Cancelled,Night reconnaissance mission
FL0241,2024-10-25,P016,A005,Transport,3.3,6614,Completed,Successful transport operation
FL0242,2024-10-25,P013,A020,Combat,4.5,8716,Completed,Emergency combat training
FL0243,2024-10-25,P020,A007,Transport,3.2,5894,Completed,Weather-related transport mission
FL0244,2024-10-25,P016,A005,Patrol,3.3,6604,Completed,Joint force patrol exercise
FL0245,2024-10-25,P006,A003,Training,2.3,4544,Completed,Successful training operation
FL0246,2024-10-25,P012,A018,Transport,2.4,4753,Completed,Successful transport operation
FL0247,2024-10-25,P017,A004,Training,2.3,4683,Completed,Night training mission
FL0248,2024-10-25,P013,A018,Reconnaissance,4.5,8100,Completed,Joint force reconnaissance exercise
FL0249,2024-10-25,P014,A007,Transport,3.4,6702,Completed,Successful transport operation
FL0250,2024-10-25,P011,A017,Training,2.2,4078,Completed,training systems check completed
FL0251,2024-10-26,P013,A018,Combat,3.7,7539,Completed,Standard combat procedures
FL0252,2024-10-26,P006,A019,Reconnaissance,4.2,8505,Completed,Joint force reconnaissance exercise
FL0253,2024-10-26,P006,A010,Training,1.6,3167,Cancelled,Weather-related training mission
FL0254,2024-10-26,P018,A008,Training,2.5,5168,Completed,Successful training operation
FL0255,2024-10-26,P006,A020,Combat,4.3,8709,Completed,Emergency combat training
FL0256,2024-10-26,P002,A005,Transport,2.4,4685,Completed,Weather-related transport mission
FL0257,2024-10-26,P009,A017,Reconnaissance,4.2,7874,Completed,Successful reconnaissance operation
FL0258,2024-10-26,P001,A002,Reconnaissance,3.8,6852,Completed,reconnaissance systems check completed
FL0259,2024-10-26,P012,A013,Patrol,3.9,8079,Cancelled,Weather-related patrol mission
FL0260,2024-10-26,P014,A003,Combat,4.1,8438,Completed,Night combat mission
FL0261,2024-10-27,P002,A010,Training,2.0,3613,Completed,Standard training procedures
FL0262,2024-10-27,P017,A002,Patrol,3.4,6407,Cancelled,Standard patrol procedures
FL0263,2024-10-27,P020,A007,Reconnaissance,3.6,7069,Completed,Emergency reconnaissance training
FL0264,2024-10-27,P007,A006,Combat,3.6,6886,Cancelled,Successful combat operation
FL0265,2024-10-27,P006,A019,Transport,3.1,5591,Cancelled,Routine transport mission
FL0266,2024-10-27,P011,A015,Patrol,3.3,6279,Completed,Standard patrol procedures
FL0267,2024-10-27,P014,A017,Combat,3.7,7462,Completed,Routine combat mission
FL0268,2024-10-27,P014,A009,Patrol,3.0,6215,Completed,Successful patrol operation
FL0269,2024-10-27,P006,A012,Patrol,3.8,7973,Completed,Joint force patrol exercise
FL0270,2024-10-27,P001,A016,Combat,4.4,8438,Completed,Joint force combat exercise
FL0271,2024-10-28,P007,A013,Reconnaissance,3.5,6686,Completed,Joint force reconnaissance exercise
FL0272,2024-10-28,P007,A010,Training,2.5,4655,Completed,training systems check completed
FL0273,2024-10-28,P010,A005,Patrol,3.5,6516,Completed,Joint force patrol exercise
FL0274,2024-10-28,P006,A003,Reconnaissance,4.0,7985,Completed,Successful reconnaissance operation
FL0275,2024-10-28,P010,A018,Combat,4.1,7607,Completed,Night combat mission
FL0276,2024-10-28,P009,A011,Transport,2.2,4236,Completed,Standard transport procedures
FL0277,2024-10-28,P007,A018,Training,2.7,4989,Completed,Joint force training exercise
FL0278,2024-10-28,P016,A009,Combat,4.2,7667,Completed,Successful combat operation
FL0279,2024-10-28,P018,A013,Combat,4.0,7392,Cancelled,Coastal combat operation
FL0280,2024-10-28,P017,A007,Training,2.5,4742,Cancelled,Emergency training training
FL0281,2024-10-29,P010,A019,Reconnaissance,3.8,6918,Completed,Successful reconnaissance operation
FL0282,2024-10-29,P003,A010,Transport,2.7,5165,Completed,Advanced transport training
FL0283,2024-10-29,P014,A008,Transport,2.1,3922,Completed,Emergency transport training
FL0284,2024-10-29,P019,A016,Transport,2.9,5907,Completed,Night transport mission
FL0285,2024-10-29,P009,A007,Training,2.5,4908,Completed,Weather-related training mission
FL0286,2024-10-29,P008,A006,Reconnaissance,4.2,7742,Completed,Weather-related reconnaissance mission
FL0287,2024-10-29,P016,A009,Transport,3.0,5725,Cancelled,Advanced transport training
FL0288,2024-10-29,P001,A018,Reconnaissance,3.3,6335,Completed,Routine reconnaissance mission
FL0289,2024-10-29,P018,A006,Transport,2.7,5105,Completed,Coastal transport operation
FL0290,2024-10-29,P005,A013,Reconnaissance,4.5,8253,Completed,Routine reconnaissance mission
FL0291,2024-10-30,P007,A014,Combat,3.9,8074,Completed,Advanced combat training
FL0292,2024-10-30,P015,A007,Reconnaissance,3.2,5884,Completed,Coastal reconnaissance operation
FL0293,2024-10-30,P019,A011,Reconnaissance,4.2,7814,Completed,Standard reconnaissance procedures
FL0294,2024-10-30,P006,A006,Patrol,2.6,4945,Completed,Routine patrol mission
FL0295,2024-10-30,P019,A016,Reconnaissance,3.7,7530,Completed,Standard reconnaissance procedures
FL0296,2024-10-30,P019,A005,Patrol,3.2,6656,Completed,Joint force patrol exercise
FL0297,2024-10-30,P012,A001,Training,1.8,3559,Completed,Weather-related training mission
FL0298,2024-10-30,P018,A019,Combat,4.9,10059,Completed,Successful combat operation
FL0299,2024-10-30,P007,A012,Training,2.6,4914,Completed,Coastal training operation
FL0300,2024-10-30,P015,A018,Patrol,3.5,6968,Completed,Coastal patrol operation
FL0301,2024-10-31,P014,A016,Reconnaissance,4.2,7627,Completed,Weather-related reconnaissance mission
FL0302,2024-10-31,P019,A013,Training,2.7,5489,Completed,Coastal training operation
FL0303,2024-10-31,P011,A019,Reconnaissance,3.3,6781,Completed,Standard reconnaissance procedures
FL0304,2024-10-31,P019,A007,Training,2.5,4854,Completed,Joint force training exercise
FL0305,2024-10-31,P009,A008,Combat,3.6,7072,Completed,Advanced combat training
FL0306,2024-10-31,P003,A012,Combat,5.0,9834,Completed,Coastal combat operation
FL0307,2024-10-31,P019,A020,Transport,2.7,5359,Completed,Advanced transport training
FL0308,2024-10-31,P007,A008,Training,1.9,3714,Completed,Routine training mission
FL0309,2024-10-31,P018,A012,Patrol,3.8,7781,Completed,Night patrol mission
FL0310,2024-10-31,P007,A015,Reconnaissance,4.2,8591,Completed,Standard reconnaissance procedures
FL0311,2024-11-01,P012,A016,Transport,2.0,4042,Completed,Routine transport mission
FL0312,2024-11-01,P013,A001,Reconnaissance,3.5,6498,Completed,Weather-related reconnaissance mission
FL0313,2024-11-01,P012,A011,Patrol,3.8,6992,Completed,Standard patrol procedures
FL0314,2024-11-01,P003,A013,Combat,3.8,7370,Completed,Standard combat procedures
FL0315,2024-11-01,P013,A012,Training,2.3,4442,Completed,Night training mission
FL0316,2024-11-01,P018,A010,Transport,3.5,7087,Completed,Night transport mission
FL0317,2024-11-01,P017,A009,Training,1.9,3479,Completed,training systems check completed
FL0318,2024-11-01,P010,A018,Patrol,2.8,5414,Completed,Emergency patrol training
FL0319,2024-11-01,P004,A004,Reconnaissance,3.3,6387,Cancelled,Weather-related reconnaissance mission
FL0320,2024-11-01,P014,A016,Combat,4.8,8825,Completed,Weather-related combat mission
